Epoch,Loss,Train Accuracy,Test Accuracy
1,1.8344311302995937,16.111483093404754,16.27050552393706
2,1.11533220725901,50.987612989621695,55.5741546702377
3,0.9634367472985211,56.99698694342149,59.89286909943087
4,0.9056553923509976,59.834281888182126,60.09373953799799
5,0.8661648282074036,61.86809507867426,63.073317710077
6,0.844624429622436,62.72179444258453,62.40374958151992
7,0.8231132153202506,63.550385001673924,63.00636089722129
8,0.8295591288709385,63.51690659524606,64.17810512219619
9,0.8179145366112817,63.75962504184801,62.60462002008705
10,0.8007452787562488,64.66354201540007,64.7472380314697
11,0.8087665557383216,64.7472380314697,62.939404084365584
12,0.7948306553504046,65.50887177770338,62.87244727150988
13,0.7731553336834525,66.03615667894208,65.48376297288249
14,0.7627729950422909,66.4462671576833,61.60026782725142
15,0.7630530904958592,66.89822564445933,63.37462336792769
16,0.7438896658586308,67.08235687981252,64.98158687646468
17,0.7409806314477309,67.53431536658854,63.54201540006696
18,0.7188632983096781,68.31268831603616,63.70940743220623
19,0.7145718045253805,68.68095078674256,61.56678942082357
20,0.7148144743181167,68.73953799799129,62.57114161365919
21,0.6949146394742364,69.7020421827921,64.14462671576833
22,0.6793095579440581,70.05356545028457,63.74288583863408
23,0.6757081435485319,70.55574154670238,65.21593572145966
